04/01/2008, Málaga (Coín): Asesinada una mujer por su pareja en Coín el día de su cumpleaños
06/01/2008, Alicante (Torrevieja): Asesinada una mujer, degollada por su compañero de 26 años
07/01/2008, Girona (Salt): Una mujer muere al caer de un 2º piso tras una discusión
18/01/2008, Madrid (Alcalá de Henares): Un hombre mata a su pareja y al hijo de ésta
18/01/2008, Pamplona: Un hombre asesina a su pareja de 20 años de edad
21/01/2008, Murcia (Los Alcázares): Asesina a la madre de su compañera al mediar a su favor
22/01/2008, Madrid (Alcalá de Henares): Un hombre quema viva a su novia de 20 años
25/01/2008, Murcia: Asesina a su mujer a puñaladas y la lleva en coche a la comisaría.
31/01/2008, Pontevedra (Cangas de Morrazo): Estrangula a su esposa de 61 años.
04/02/2008, Guadalajara: Una mujer de 44 años apuñalada por su esposo, ya denunciado.
07/02/2008, Madrid: Un joven de 19 años tira a su novia, de 20, desde un 5º piso.
09/02/2008, Valencia (Cheste). Un hombre mata a su mujer de 44, y la entierra en su huerto.
14/02/2008, Madrid (Arganda del Rey). Un hombre mata a puñaladas a su mujer .
15/02/2008, Tenerife (Adeje). Un hombre mata a puñaladas a su mujer, su hija y su hijo
26/02/2008, Madrid. Un hombre mata a puñaladas a su novia de 22 años.
26/02/2008, Cádiz (Puerto e Santa María. Un hombre mata a puñaladas a su exmujer.
26/02/2008, Valencia (Cullera). Mata a su ex-mujer en la terraza de un bar.
26/02/2008, Valladolid. Tirotea a su ex-mujer en desde la ventana.
02/03/2008, Barcelona (Igualada). Mujer asesinada, abandonada cerca de un hospital.
05/03/2008, Burgos (Aranda de Duero). Mujer quemada dentro de su vivienda por el marido
14/03/2008, Almería (Albox). Mujer asesinada por su marido, policia local.
14/03/2008, Tarragona. Mujer de 27 años apuñalada por hombre que la acosaba sentimentalmente.
22/03/2008, Alicante (Jijona). Mujer de 42 años muerta por su marido recien salido de la carcel por maltrato.
30/03/2008, Salamanca (Ciudad Ridrigo). Mujer de 45 asesinada por un hombre que la acosaba sentimentalmente.
2/04/2008, Madrid. (San Sebastián de los Reyes) Mujer de 37 años apuñalada por su pareja.
08/04/2008, Huesca (Fraga) Mujer muerta tras caer por laventana.
10/04/2008, Guadalajara (Alovera) Mata a su exmujer y al compañero de esta y se suicida.
22/04/2008, Pilar de la Horadada (Alicante). 18 años, maniatada y tirada a una balsa con pesos para que no flotara.
30/04/2008, Málaga (Alhaurín de la Torre) Mujer hallada flotando en su piscina.
10/05/2008, Cadiz (Jerez de la Frontera). Degollada por su expareja de 77 años.
10/05/2008, Zamora. Degollada por su marido, de 43 años.
12/05/2008, Alicante (Benidorm). Muerta al caer desde el piso 12, había denunciado a su marido 18 días antes.
20/05/2008, Barcelona (Sabadell). Mujer asesinada a tiros al dia siguiente del divorcio.
6/06/2008, Logroño . Mujer de 27 años estrangulada.
16/06/2008, Girona (Empuriabarava). Mujer de 30 años asesinada
22/06/2008, Barcelona (Vilanova del Camí). Mujer apuñalada. Marido detenido como presunto autor.
22/06/2008, Córdonba (Carcabuey).Mujer de 81 estrangulada por su marido de 77.
28/06/2008, Madrid (Las Rozas).Mujer de 28 asesinada por su ex-novio.
07/07/2008, Navarra (Orondritz). Mujer de 20 años asesinada el día de San Fermín.
11/07/2008, Murcia (Yecla). Mujer de 39 y sus hijas de 4 y 6 años apuñaladas por el marido y padre.
14/07/2008, Madrid (Ciempozuelos). Degollada por su ex-pareja.
21/07/2008, Barcelona (Torre de Claramunt). Mujer de 40 años asesinada en Barcelona por su pareja.
