cy
127
137
147
157
167
177
107
117
127
137
147
157
167
177
187
197
207
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
457
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
457
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
457
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
457
467
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
457
467
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
457
467
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
457
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
457
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
447
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
427
437
7
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
407
417
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
397
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
377
387
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
357
367
17
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
337
347
27
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
327
37
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
307
317
47
57
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
297
67
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
287
77
87
97
107
117
127
137
147
157
167
177
187
197
207
217
227
237
247
257
267
277
107
117
127
137
147
157
167
177
187
197
207
217
227
237
117
127
137
147
157
167
177
187
197
207
217
227
187
197
207
217
